date,btc_return,forecast_return,strategy_return,btc_cum,strategy_cum,btc_USD_return,strategy_USD_return
2018-10-20,0.0036712536907052124,0.001531278735111764,0.0036712536907052124,0.0036712536907052124,0.0036712536907052124,100.36712536907054,100.36712536907054
2018-10-21,-0.0010545923789086905,0.0009339280233429902,-0.0010545923789086905,0.002616661311796522,0.002616661311796522,100.26166613117967,100.26166613117967
2018-10-22,0.0007417486283345928,-0.0013676706409310932,-0.0007417486283345928,0.0033584099401311146,0.0018749126834619293,100.33584099401311,100.18749126834618
2018-10-23,-0.001761939783657125,0.00015982031175952946,-0.001761939783657125,0.0015964701564739896,0.00011297289980480426,100.1596470156474,100.01129728998049
2018-10-24,0.0030990250941596337,-0.0003428606438196202,-0.0030990250941596337,0.004695495250633623,-0.0029860521943548294,100.46954952506337,99.70139478056451
2018-10-25,-0.003014126435224904,0.0013061889605466173,-0.003014126435224904,0.0016813688154087192,-0.006000178629579734,100.16813688154087,99.39998213704203
2018-10-26,-0.00023782476196845904,-0.000591785226677626,0.00023782476196845904,0.0014435440534402602,-0.005762353867611275,100.14435440534402,99.42376461323887
2018-10-27,0.0008691357640168479,-0.0003453906635535327,-0.0008691357640168479,0.002312679817457108,-0.006631489631628123,100.2312679817457,99.33685103683719
2018-10-28,0.0009270241426587073,-0.00037971797556471507,-0.0009270241426587073,0.003239703960115815,-0.00755851377428683,100.32397039601157,99.24414862257132
2018-10-29,-0.023990543484064625,0.000697350409694248,-0.023990543484064625,-0.020750839523948808,-0.03154905725835146,97.92491604760511,96.84509427416485
2018-10-30,0.0002589642330366647,6.073757391622265e-05,0.0002589642330366647,-0.020491875290912145,-0.03129009302531479,97.95081247090879,96.87099069746851
2018-10-31,-0.0026336270631122064,-0.0003896501921617403,0.0026336270631122064,-0.02312550235402435,-0.028656465962202584,97.68744976459757,97.13435340377974
2018-11-01,0.009479090316366108,-0.0012722345440425178,-0.009479090316366108,-0.013646412037658243,-0.03813555627856869,98.63535879623417,96.18644437214313
2018-11-02,0.001670057183171853,0.0013506303065085145,0.001670057183171853,-0.01197635485448639,-0.036465499095396835,98.80236451455137,96.35345009046031
2018-11-03,-0.004263663741096104,8.291457922829942e-05,-0.004263663741096104,-0.016240018595582495,-0.04072916283649294,98.37599814044175,95.92708371635071
2018-11-04,0.002334877736385911,-0.0017141853276676,-0.002334877736385911,-0.013905140859196584,-0.043064040572878846,98.60948591408034,95.69359594271212
2018-11-05,0.006803869209292528,-6.141686940543326e-05,-0.006803869209292528,-0.007101271649904055,-0.04986790978217137,99.28987283500959,95.01320902178286
2018-11-06,0.006420435007348473,-0.00018281215068189646,-0.006420435007348473,-0.0006808366425555823,-0.05628834478951984,99.93191633574445,94.37116552104801
2018-11-07,0.010642787442503772,0.0020073453386837497,0.010642787442503772,0.00996195079994819,-0.04564555734701607,100.99619507999482,95.4354442652984
2018-11-08,-0.01177166149327325,-0.0008662378526812165,0.01177166149327325,-0.0018097106933250597,-0.03387389585374282,99.8190289306675,96.61261041462572
2018-11-09,-0.010608136377887588,-0.0010639511642710079,0.010608136377887588,-0.012417847071212648,-0.023265759475855234,98.75821529287873,97.67342405241448
2018-11-10,0.0036890065294513078,0.0002284050008711018,0.0036890065294513078,-0.00872884054176134,-0.019576752946403927,99.12711594582386,98.0423247053596
2018-11-11,0.00031977014605419856,0.0011284858693009654,0.00031977014605419856,-0.008409070395707142,-0.01925698280034973,99.15909296042929,98.07430171996504
2018-11-12,-0.006258557444745865,0.0004541655895018282,-0.006258557444745865,-0.014667627840453007,-0.025515540245095593,98.5332372159547,97.44844597549044
2018-11-13,-0.0018506026548069483,0.00012047080338297583,-0.0018506026548069483,-0.016518230495259956,-0.02736614289990254,98.34817695047401,97.26338571000974
2018-11-14,-0.102776492612866,-0.001919884953169584,0.102776492612866,-0.11929472310812596,0.07541034971296347,88.0705276891874,107.54103497129634
2018-11-15,-0.01586495591484387,-0.001546460538258734,0.01586495591484387,-0.13515967902296983,0.09127530562780733,86.48403209770301,109.12753056278073
2018-11-16,-0.012915841510676327,0.002487371920686296,-0.012915841510676327,-0.14807552053364614,0.078359464117131,85.19244794663538,107.8359464117131
2018-11-17,-0.0038131144152527387,-0.003660395396228435,0.0038131144152527387,-0.15188863494889887,0.08217257853238374,84.81113650511011,108.21725785323837
2018-11-18,0.01238354798042333,0.0015877132245798475,0.01238354798042333,-0.13950508696847555,0.09455612651280708,86.04949130315245,109.4556126512807
2018-11-19,-0.14356147261977753,-0.001548015892656979,0.14356147261977753,-0.2830665595882531,0.23811759913258462,71.69334404117468,123.81175991325846
2018-11-20,-0.09007563425125005,-0.009350221614714988,0.09007563425125005,-0.37314219383950314,0.32819323338383466,62.68578061604968,132.81932333838347
2018-11-21,0.03320365553437355,0.003044522788308011,0.03320365553437355,-0.3399385383051296,0.3613968889182082,66.00614616948704,136.1396888918208
2018-11-22,-0.052694412479527275,-0.00518250235037711,0.052694412479527275,-0.3926329507846569,0.4140913013977355,60.73670492153431,141.40913013977354
2018-11-23,-0.004322276984291115,0.0017290025645368265,-0.004322276984291115,-0.396955227768948,0.40976902441344437,60.3044772231052,140.97690244134444
2018-11-24,-0.1134802116598151,0.00027137853409407654,-0.1134802116598151,-0.5104354394287631,0.2962888127536293,48.95645605712369,129.62888127536294
2018-11-25,0.03275273944235918,-0.017235911721731646,-0.03275273944235918,-0.47768269998640395,0.2635360733112701,52.23173000135961,126.35360733112702
