date,btc_return,forecast_return,strategy_return,btc_cum,strategy_cum,btc_USD_return,strategy_USD_return
2019-01-18,-0.005649816190357375,-0.0055,0.005649816190357375,-0.005649816190357375,0.005649816190357375,99.43501838096425,100.56498161903573
2019-01-19,0.01915170908631344,-0.001,-0.01915170908631344,0.013501892895956064,-0.013501892895956064,101.3501892895956,98.6498107104044
2019-01-20,-0.03480896063362753,0.0029,-0.03480896063362753,-0.021307067737671468,-0.0483108535295836,97.86929322623286,95.16891464704163
2019-01-21,-0.00696144385534997,-0.0025,0.00696144385534997,-0.028268511593021437,-0.04134940967423363,97.17314884069785,95.86505903257664
2019-01-22,0.007950530352079451,0.0018,0.007950530352079451,-0.020317981240941987,-0.03339887932215418,97.9682018759058,96.66011206778458
2019-01-23,-0.005411671683208206,-0.0028,0.005411671683208206,-0.025729652924150193,-0.027987207638945973,97.42703470758498,97.20127923610539
2019-01-24,0.004381431205159669,0.0017,0.004381431205159669,-0.021348221718990524,-0.023605776433786304,97.86517782810094,97.63942235662138
2019-01-25,-0.0003054204431264169,0.0018,-0.0003054204431264169,-0.021653642162116942,-0.023911196876912722,97.8346357837883,97.60888031230873
2019-01-26,0.000748263108308646,-0.0038,-0.000748263108308646,-0.020905379053808296,-0.024659459985221368,97.90946209461917,97.53405400147787
2019-01-27,-0.005147111829675194,-0.0001,0.005147111829675194,-0.026052490883483492,-0.019512348155546172,97.39475091165166,98.04876518444539
2019-01-28,-0.03218556319252221,-0.0003,0.03218556319252221,-0.0582380540760057,0.012673215036976035,94.17619459239943,101.26732150369759
2019-01-29,-0.006456126634728354,0.0005,-0.006456126634728354,-0.06469418071073406,0.006217088402247681,93.5305819289266,100.62170884022477
2019-01-30,0.01097878318274514,-0.0007,-0.01097878318274514,-0.053715397527988915,-0.0047616947804974595,94.6284602472011,99.52383052195025
2019-01-31,-0.008176606844941092,-0.0017,0.008176606844941092,-0.06189200437293001,0.0034149120644436327,93.810799562707,100.34149120644436
2019-02-01,0.008682382564032733,0.0003,0.008682382564032733,-0.053209621808897274,0.012097294628476366,94.67903781911026,101.20972946284763
2019-02-02,0.00944947797798478,0.0009,0.00944947797798478,-0.04376014383091249,0.021546772606461144,95.62398561690874,102.15467726064611
2019-02-03,-0.016334438153328454,-0.0035,0.016334438153328454,-0.06009458198424095,0.0378812107597896,93.99054180157592,103.78812107597896
2019-02-04,-0.0014038013124339505,-0.0002,0.0014038013124339505,-0.0614983832966749,0.03928501207222355,93.85016167033251,103.92850120722234
2019-02-05,0.0020802424842303025,0.0018,0.0020802424842303025,-0.05941814081244459,0.04136525455645385,94.05818591875554,104.13652545564538
2019-02-06,-0.01528769386396383,-0.0009,0.01528769386396383,-0.07470583467640843,0.05665294842041768,92.52941653235915,105.66529484204177
2019-02-07,-0.004196583131107194,0.0007,-0.004196583131107194,-0.07890241780751563,0.05245636528931049,92.10975821924843,105.24563652893104
2019-02-08,0.07569393588291641,-0.0001,-0.07569393588291641,-0.0032084819245992158,-0.02323757059360592,99.67915180754008,97.67624294063941
2019-02-09,0.0012056010491401305,-0.0002,-0.0012056010491401305,-0.0020028808754590853,-0.02444317164274605,99.79971191245409,97.5556828357254
2019-02-10,0.005157899888638,-0.0001,-0.005157899888638,0.0031550190131789143,-0.02960107153138405,100.31550190131789,97.03989284686159
2019-02-11,-0.011380348064789417,0.0025,-0.011380348064789417,-0.008225329051610502,-0.04098141959617347,99.17746709483895,95.90185804038265
2019-02-12,0.0013963104063156144,-0.0044,-0.0013963104063156144,-0.006829018645294888,-0.04237773000248908,99.31709813547052,95.76222699975109
2019-02-13,-0.00589054343790025,0.0007,-0.00589054343790025,-0.012719562083195139,-0.04826827344038933,98.72804379168049,95.17317265596107
2019-02-14,-0.004190873785797591,0.0062,-0.004190873785797591,-0.01691043586899273,-0.05245914722618692,98.30895641310072,94.75408527738131
2019-02-15,0.0010859629219539917,-0.0005,-0.0010859629219539917,-0.015824472947038738,-0.05354511014814091,98.41755270529613,94.6454889851859
2019-02-16,0.0024761574438561178,-0.0016,-0.0024761574438561178,-0.01334831550318262,-0.05602126759199703,98.66516844968174,94.3978732408003
2019-02-17,0.012062263722242502,-0.003,-0.012062263722242502,-0.001286051780940118,-0.06808353131423953,99.871394821906,93.19164686857604
2019-02-18,0.06376138161425873,0.004,0.06376138161425873,0.06247532983331862,-0.004322149699980793,106.24753298333187,99.56778503000191
2019-02-19,0.007981955114738431,0.0011,0.007981955114738431,0.07045728494805704,0.0036598054147576383,107.04572849480572,100.36598054147576
2019-02-20,0.013269765295225703,-0.0006,-0.013269765295225703,0.08372705024328275,-0.009609959880468064,108.37270502432827,99.0390040119532
2019-02-21,-0.01149189038798173,-0.0002,0.01149189038798173,0.07223515985530102,0.0018819305075136652,107.2235159855301,100.18819305075138
2019-02-22,0.01291745129035963,-0.001,-0.01291745129035963,0.08515261114566065,-0.011035520782845965,108.51526111456606,98.8964479217154
2019-02-23,0.033630892831814106,0.0031,0.033630892831814106,0.11878350397747475,0.02259537204896814,111.87835039774747,102.25953720489682
2019-02-24,-0.08356456815364668,0.0044,-0.08356456815364668,0.03521893582382807,-0.06096919610467855,103.52189358238282,93.90308038953215
2019-02-25,0.01878844719138865,-0.0031,-0.01878844719138865,0.05400738301521672,-0.0797576432960672,105.40073830152168,92.02423567039328
2019-02-26,-0.007325399304251253,0.0023,-0.007325399304251253,0.04668198371096547,-0.08708304260031846,104.66819837109655,91.29169573996816
