date,forecast,mae
6/18/2019,0.0006,0.025074118
6/19/2019,-0.0018,0.025067721
6/20/2019,0.0084,0.025054707
6/21/2019,-0.0025,0.025039432
6/22/2019,0.0060,0.025080755
6/23/2019,0.0017,0.025091452
6/24/2019,0.0021,0.025064964
6/25/2019,0.0020,0.025055113
6/26/2019,0.0031,0.025149638
6/27/2019,0.0109,0.025161191
6/28/2019,0.0002,0.025229178
6/29/2019,0.0074,0.025288318
6/30/2019,-0.0061,0.025236861
7/1/2019,0.0164,0.025349631
7/2/2019,-0.0006,0.02535512
7/3/2019,-0.0162,0.02529424
7/4/2019,0.0126,0.025386602
7/5/2019,-0.0057,0.025413115
7/6/2019,0.0048,0.025411571
7/7/2019,-0.0136,0.025404925
7/8/2019,0.0082,0.025402762
7/9/2019,0.0069,0.025423182
7/10/2019,-0.0058,0.025344187
7/11/2019,-0.0050,0.025392525
7/12/2019,0.0010,0.025374467
7/13/2019,0.0125,0.025379738
7/14/2019,0.0012,0.025395937
7/15/2019,-0.0024,0.025433671
7/16/2019,-0.0015,0.025449253
7/17/2019,-0.0034,0.025572335
7/18/2019,0.0182,0.025536148
7/19/2019,-0.0148,0.025621678
7/20/2019,-0.0038,0.025585638
7/21/2019,0.0082,0.025730989
7/22/2019,-0.0030,0.02574847
7/23/2019,0.0087,0.025601383
7/24/2019,-0.0014,0.025553463
7/25/2019,0.0034,0.025546005
7/26/2019,-0.0005,0.025596946
7/27/2019,0.0006,0.025557289
7/28/2019,0.0010,0.02559462
7/29/2019,0.0009,0.025577445
7/30/2019,-0.0016,0.025571127
7/31/2019,0.0048,0.025573095
8/1/2019,-0.0017,0.025526284
8/2/2019,0.0001,0.025644986
8/3/2019,0.0015,0.025514107
8/4/2019,0.0001,0.025545194
8/5/2019,0.0015,0.025537453
8/6/2019,0.0029,0.025534582
8/7/2019,0.0010,0.025538214
8/8/2019,0.0037,0.025537778
8/9/2019,-0.0029,0.025595556
8/10/2019,0.0053,0.025525758
8/11/2019,0.0039,0.025555349
8/12/2019,-0.0025,0.025551714
8/13/2019,0.0019,0.025535341
8/14/2019,0.0012,0.025535744
8/15/2019,0.0018,0.025598818
8/16/2019,-0.0065,0.025557092
8/17/2019,0.0009,0.025593042
8/18/2019,0.0022,0.025587698
8/19/2019,-0.0021,0.02555846
