7D,0.017295604123150055
14D,0.01678290589345561
20D,0.01888427135970884
50D,0.018051268210201553
rsi7,0.2316228751651968
rsi14,0.11551126561532259
rsi20,0.08626326401600654
rsi50,0.04311178054674585
mchi_close_lag,0.023906716516383236
spx_close_lag,0.022488306037836185
eth_close_lag,0.021207572737847024
iai_value,0.014014997273641815
day_1,0.0009645153614046055
day_2,0.0010976467537032785
day_3,0.00037790654078742174
day_4,0.0013465865142458554
day_5,0.001722613872502137
day_6,0.003990745122909767
Volume_1d_change,0.0496096597867069
Volume_1d_change_SMA,0.029063651424343483
btc_lag1,0.07069298337738193
btc_lag2,0.04925904221974989
btc_lag3,0.024565829273790696
btc_lag4,0.03205260714550432
btc_lag5,0.029008543355338944
btc_lag6,0.024908147851213758
btc_lag7,0.026851518460341187
btc_lag8,0.02534717544457958
