,vars,model_returns,FP,FN,TP,TN,accuracy,precision,recall,TNR
194,"3, 8, 10",0.19681376578680074,36,4,46,4,0.56,0.56,0.92,0.1
18,"0, 8",0.18623547232203586,36,4,46,4,0.56,0.56,0.92,0.1
4,4,0.0786896066752152,40,0,50,0,0.56,0.56,1.0,0.0
19,"0, 9",0.23548879436583237,37,3,47,3,0.56,0.56,0.94,0.075
166,"2, 6, 8",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
17,"0, 7",0.2807482445171285,33,7,43,7,0.56,0.57,0.86,0.175
16,"0, 6",0.23548879436583237,37,3,47,3,0.56,0.56,0.94,0.075
159,"2, 4, 10",0.0786896066752152,40,0,50,0,0.56,0.56,1.0,0.0
15,"0, 5",0.23548879436583237,37,3,47,3,0.56,0.56,0.94,0.075
187,"3, 6, 8",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
5,5,0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
171,"2, 7, 10",0.23598477293507836,33,7,43,7,0.56,0.57,0.86,0.175
162,"2, 5, 8",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
145,"1, 8, 10",0.18567118743141414,37,3,47,3,0.56,0.56,0.94,0.075
168,"2, 6, 10",0.18933281870812219,37,3,47,3,0.56,0.56,0.94,0.075
167,"2, 6, 9",0.27849543285284545,32,8,42,8,0.56,0.57,0.84,0.2
146,"1, 9, 10",0.21581407127246702,35,5,45,5,0.56,0.56,0.9,0.125
53,"5, 8",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
144,"1, 8, 9",0.2521873989036131,34,6,44,6,0.56,0.56,0.88,0.15
104,"0, 6, 10",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
142,"1, 7, 9",0.3340570662624169,31,9,41,9,0.56,0.57,0.82,0.225
40,"3, 6",0.23643814039748315,34,6,44,6,0.56,0.56,0.88,0.15
209,"4, 8, 10",0.0786896066752152,40,0,50,0,0.56,0.56,1.0,0.0
210,"4, 9, 10",0.0786896066752152,40,0,50,0,0.56,0.56,1.0,0.0
81,"0, 2, 9",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
48,"4, 8",0.0786896066752152,40,0,50,0,0.56,0.56,1.0,0.0
49,"4, 9",0.0786896066752152,40,0,50,0,0.56,0.56,1.0,0.0
73,"0, 1, 9",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
50,"4, 10",0.0786896066752152,40,0,50,0,0.56,0.56,1.0,0.0
64,"8, 10",0.18567118743141414,37,3,47,3,0.56,0.56,0.94,0.075
63,"8, 9",0.18567118743141414,37,3,47,3,0.56,0.56,0.94,0.075
62,"7, 10",0.17712848937892545,37,3,47,3,0.56,0.56,0.94,0.075
61,"7, 9",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
60,"7, 8",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
59,"6, 10",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
58,"6, 9",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
57,"6, 8",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
102,"0, 6, 8",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
95,"0, 4, 10",0.0786896066752152,40,0,50,0,0.56,0.56,1.0,0.0
105,"0, 7, 8",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
116,"1, 2, 8",0.2513293617596687,35,5,45,5,0.56,0.56,0.9,0.125
141,"1, 7, 8",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
140,"1, 6, 10",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
138,"1, 6, 8",0.17690645721403955,38,2,48,2,0.56,0.56,0.96,0.05
25,"1, 6",0.18933281870812219,37,3,47,3,0.56,0.56,0.94,0.075
