Date,btc_return,rf_predict,model_return
2019-03-20,0.003992356747011401,1,0.003992356747011401
2019-03-21,-0.014328401776095966,1,-0.014328401776095966
2019-03-22,-0.0013307950796282526,1,-0.0013307950796282526
2019-03-23,0.0029425470573342626,1,0.0029425470573342626
2019-03-24,-0.003389978948558736,1,-0.003389978948558736
2019-03-25,-0.014801995711949577,0,0.014801995711949577
2019-03-26,0.005538472845827742,0,-0.005538472845827742
2019-03-27,0.02526980202131124,1,0.02526980202131124
2019-03-28,-0.004403784047992027,1,-0.004403784047992027
2019-03-29,0.007166825805851083,1,0.007166825805851083
2019-03-30,0.0020196494351773986,1,0.0020196494351773986
2019-03-31,-0.0003058570757639961,1,-0.0003058570757639961
2019-04-01,0.012773998292133912,1,0.012773998292133912
2019-04-02,0.16004197994516287,1,0.16004197994516287
2019-04-03,0.018907492974592766,1,0.018907492974592766
2019-04-04,-0.010150461942397916,1,-0.010150461942397916
2019-04-05,0.022870127348453107,1,0.022870127348453107
2019-04-06,0.004583028743319833,1,0.004583028743319833
2019-04-07,0.027116090177809686,1,0.027116090177809686
2019-04-08,0.017328472442366353,1,0.017328472442366353
2019-04-09,-0.016163226788210222,1,-0.016163226788210222
2019-04-10,0.022716802987142883,1,0.022716802987142883
2019-04-11,-0.05007552531623528,1,-0.05007552531623528
2019-04-12,0.004934263259707527,1,0.004934263259707527
2019-04-13,0.0013837183003608921,1,0.0013837183003608921
2019-04-14,0.013861017578417989,1,0.013861017578417989
2019-04-15,-0.019661685773635185,1,-0.019661685773635185
2019-04-16,0.03270340957290042,1,0.03270340957290042
2019-04-17,0.0031234202868203123,1,0.0031234202868203123
2019-04-18,0.008805048124612256,1,0.008805048124612256
2019-04-19,0.0010237043960234227,1,0.0010237043960234227
2019-04-20,0.006403835949296579,1,0.006403835949296579
2019-04-21,-0.004384923415821964,1,-0.004384923415821964
2019-04-22,0.01583658328806091,1,0.01583658328806091
2019-04-23,0.03153759108124741,1,0.03153759108124741
2019-04-24,-0.01947925891752566,1,-0.01947925891752566
2019-04-25,-0.04766091036686794,1,-0.04766091036686794
2019-04-26,0.013123813511948284,1,0.013123813511948284
2019-04-27,-0.0020966081379164233,1,-0.0020966081379164233
2019-04-28,0.0031929255289711586,1,0.0031929255289711586
2019-04-29,-0.007175278974608815,1,-0.007175278974608815
2019-04-30,0.019508686728554894,1,0.019508686728554894
2019-05-01,0.009665964713160186,1,0.009665964713160186
2019-05-02,0.018809979611703023,1,0.018809979611703023
2019-05-03,0.046667296091749896,1,0.046667296091749896
2019-05-04,0.010841635901691647,1,0.010841635901691647
2019-05-05,-0.006099504975830169,1,-0.006099504975830169
2019-05-06,-0.008473310527672577,1,-0.008473310527672577
2019-05-07,0.014287066029060996,1,0.014287066029060996
2019-05-08,0.025899955365595913,1,0.025899955365595913
2019-05-09,0.03160113330297843,1,0.03160113330297843
2019-05-10,0.03255511915897777,1,0.03255511915897777
2019-05-11,0.12175582011366133,1,0.12175582011366133
2019-05-12,-0.032788090074648134,1,-0.032788090074648134
2019-05-13,0.11407866971948859,1,0.11407866971948859
2019-05-14,0.022709207680583553,1,0.022709207680583553
2019-05-15,0.026020895908440717,1,0.026020895908440717
2019-05-16,-0.03981349359787896,1,-0.03981349359787896
2019-05-17,-0.07108127727291928,1,-0.07108127727291928
2019-05-18,-0.00994698385036302,1,-0.00994698385036302
2019-05-19,0.11992989938696136,1,0.11992989938696136
2019-05-20,-0.027125846017364782,1,-0.027125846017364782
2019-05-21,-0.0018795371735582038,1,-0.0018795371735582038
2019-05-22,-0.03621876361235265,1,-0.03621876361235265
2019-05-23,0.025934032931081173,1,0.025934032931081173
2019-05-24,0.013299515535655294,1,0.013299515535655294
2019-05-25,0.008126317316201071,1,0.008126317316201071
2019-05-26,0.0742515759961349,1,0.0742515759961349
2019-05-27,0.015168497755669499,1,0.015168497755669499
2019-05-28,-0.009793263020724736,1,-0.009793263020724736
2019-05-29,-0.006959352084891172,1,-0.006959352084891172
2019-05-30,-0.04005664803386648,1,-0.04005664803386648
2019-05-31,0.03019403995038015,1,0.03019403995038015
2019-06-01,-0.0012236007767618025,1,-0.0012236007767618025
2019-06-02,0.020679267953502948,1,0.020679267953502948
2019-06-03,-0.06301805872814803,0,0.06301805872814803
2019-06-04,-0.06300147833202338,0,0.06300147833202338
2019-06-05,0.014996473512158609,0,-0.014996473512158609
2019-06-06,-0.00028224096196442734,0,0.00028224096196442734
2019-06-07,0.027977129028425737,0,-0.027977129028425737
2019-06-08,-0.011229371389998598,0,0.011229371389998598
2019-06-09,-0.034020323910449075,0,0.034020323910449075
2019-06-10,0.03981203310402684,1,0.03981203310402684
2019-06-11,-0.009117973096642518,0,0.009117973096642518
2019-06-12,0.02714473976502471,1,0.02714473976502471
2019-06-13,0.010388753415522622,1,0.010388753415522622
2019-06-14,0.054715664987565235,1,0.054715664987565235
2019-06-15,0.016489111569863667,1,0.016489111569863667
2019-06-16,0.01750894028989833,1,0.01750894028989833
2019-06-17,0.03558847754265055,1,0.03558847754265055
2019-06-18,-0.025932150877259717,1,-0.025932150877259717
2019-06-19,0.020894883875609255,1,0.020894883875609255
2019-06-20,0.026983496278319804,1,0.026983496278319804
2019-06-21,0.06279058677322437,1,0.06279058677322437
2019-06-22,0.05346453419740836,1,0.05346453419740836
2019-06-23,0.014258184901389831,1,0.014258184901389831
2019-06-24,0.014244096299186527,1,0.014244096299186527
2019-06-25,0.06842540312108276,1,0.06842540312108276
2019-06-26,0.09886766271113301,1,0.09886766271113301
